source_bq,source_model,extension_ids,cohort_start_pst,d7_due_pst,d14_due_pst,d28_due_pst,current_stage,next_action,link_level_schedule
BQ001,BQ001,1601939707196|1601939727104|1601939572948,2026-09-14,2026-09-21,2026-09-28,2026-10-12,MIXED_D7_D14,D7评估W1/R1；O1保护标题与全黑M1到D14并准备Wide Toe Box采购承接,1601939572948=15曝光1点击2访问0询盘；赢家承接见八条点击扩展链D14行动包
BQ002,BQ-002,1601939654418|1601939614689|1601939635505,2026-09-14,2026-09-21,2026-09-28,2026-10-12,MIXED_D7_D14,D7评估W1/O1；R1保护标题与Grey Khaki M1到D14并准备日常步行采购承接,1601939614689=16曝光1点击1访问0询盘；Wide Toe Box有单款证据
BQ003,R1218,1601939663432|1601939585904|1601939665367,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周三链接均无有效样本；D7按可靠后台链路拉取同口径数据
BQ004,A502,1601939626612|1601939738037|1601939700200,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周R1为2搜索曝光0点击；W1/O1无有效样本；D7复盘来源词与商品卡
BQ005,A503,1601939599850|1601939712176|1601939631570,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周三链均无有效样本；D7与高CTR源款比较相关性及商品卡效率
BQ006,M8811,1601939660427|1601939655430|1601939735063,2026-09-14,2026-09-21,2026-09-28,2026-10-12,MIXED_D7_D14,D7评估W1/R1；O1保护标题与All Black M1到D14并准备7色和定制询价承接,1601939735063=8曝光1点击1访问0询盘
BQ007,L0017,1601939585913|1601939711161|1601939701201,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周O1为0搜索曝光1未归因访客；来源和地区均未披露；D7检查入口与搜索点击缺口
BQ008,L1009,1601939625569|1601939628529|1601939659415,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,R1第35周1曝光0点击；D7与12.5%CTR源款比较来源词和商品卡
BQ009,L1026,1601939661419|1601939675350|1601939721165,2026-09-14,2026-09-21,2026-09-28,2026-10-12,MIXED_D7_D14,W1按D7评估；R1与O1分别保护Mint Green和All Black M1到D14；源款1601825074604永久只读,1601939661419=11/1；1601939721165=21/1；两条询盘均0
BQ010,R1601,1601939589876|1601939734070|1601939573998,2026-09-14,2026-09-21,2026-09-28,2026-10-12,MIXED_D7_D14,D7评估W1/O1；R1保护标题与黑面白底上脚M1到D14并准备弹力织物和2色承接,1601939734070=7曝光1点击2访问0询盘；页面加载完成后M1正常
BQ011,A002,1601939634522|1601939666421|1601939606803,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,W1沿用9月14日起点；R1/O1标题于9月15日公开生效，分别以9月22/29和10月13作为改版后D7/D14/D28；Grey Green/Grey Black M1保持并检查推荐与搜索匹配
BQ012,M8506,1601939650458|1601939681367|1601939606805,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周三链接均无有效样本；D7拉取同口径曝光点击访问询盘及来源词
BQ014,A507,1601939669411|1601939658415|1601939608686,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周W1为2曝光0点击；R1/O1无有效样本；D7确认颜色图纠偏后搜索与推荐表现
BQ016,201,1601939608691|1601939691301|1601939633580,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周W1/R1/O1分别1/1/3曝光且0点击；D7按童鞋采购意图独立评估
BQ017,A008,1601939636508|1601939697271|1601939593839,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,第35周三链接均无有效样本；D7拉取同口径曝光点击访问询盘及来源词
BQ018,A116,1601939726170|1601939641542|1601939589890,2026-09-14,2026-09-21,2026-09-28,2026-10-12,WAIT_D7,W1第35周1曝光；核验删除Cloud后是否形成Walking Casual Knit及采购词相关曝光与访问
BQ019,A206,1601939616747|1601939602873|1601939695286,2026-09-14,2026-09-21,2026-09-28,2026-10-12,MIXED_D7_D14,D7评估W1/O1及Cloud错配；R1保护标题与浅灰M1到D14并准备针织纹理四色尺码承接,1601939602873=13曝光1点击1访问0询盘
